crossings,registered,complete_used,partial_with_blocks,no_blocks,q10,q25,median,q75,q90,minimum,all_stored_minimum,minimizers
3,1,1,0,0,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.9999999999999993,3_1
4,1,1,0,0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,4_1
5,2,2,0,0,0.4042459994382449,0.4376659817204557,0.49336595219080687,0.5490659226611581,0.5824859049433688,0.38196601125010443,0.38196601125010443,5_1
6,3,3,0,0,0.38196601125010454,0.38196601125010454,0.3819660112501046,0.5137269146302511,0.592783456658339,0.38196601125010454,0.38196601125010454,6_1; 6_2
7,7,7,0,0,0.24161284192847807,0.2860889275973254,0.3819660112501045,0.4087248416985879,0.51665040254656,0.19806226419515988,0.19806226419515988,7_1
8,18,18,0,0,0.19806226419516162,0.27873631494596324,0.37196434195863437,0.40639409175735053,0.4946211275848326,0.19806226419516107,0.19806226419516107,8_1; 8_2; 8_4
9,41,41,0,0,0.19806226419516104,0.2466962393424776,0.3090397213571116,0.3613492527578675,0.483540570241268,0.12061475842818237,0.12061475842818237,9_1
10,123,123,0,0,0.17633654705400734,0.21908820210644672,0.2680033830374135,0.33804418300944616,0.42043556736161736,0.12061475842818287,0.12061475842818287,10_1; 10_2; 10_4; 10_8
11,367,367,0,0,0.17527020481157063,0.2113888701211139,0.2685110774917247,0.3302077365852242,0.37703927168276724,0.08101405277100412,0.08101405277100412,11a_367
12,1288,1288,0,0,0.16142014262647977,0.19806226419516076,0.2536622454530432,0.29980384809248717,0.3565289784848594,0.08101405277100396,0.08101405277100396,12a_722; 12a_803; 12a_1149; 12a_1157; 12a_1278
13,4878,4878,0,0,0.16014086079342327,0.19377623373711583,0.23699840775205383,0.2832478152748653,0.329114209826777,0.05811636514789631,0.05811636514789631,13a_4878
14,898,886,12,0,0.14413366057069635,0.18416864979569128,0.2251080038745784,0.2672004182410044,0.3133422611375944,0.08654902144568334,0.08259883661804181,14ah_00033
