id,name,marked_complete,stored_blocks,positive_blocks,observed_min,crossings,database
1,14nh_22512,1,120,119,0.12772907271930461,14,knot_research_14.db
2,14nh_08452,1,123,122,0.0076701234934024995,14,knot_research_14.db
3,14nh_26224,1,125,124,0.19083089333727668,14,knot_research_14.db
4,14nh_07304,1,133,132,0.029457675092596433,14,knot_research_14.db
6,14ah_11785,1,132,130,0.2325339336890161,14,knot_research_14.db
12,14nh_10778,1,128,126,0.015617998142370151,14,knot_research_14.db
13,14nh_25211,1,126,125,0.23402923736520756,14,knot_research_14.db
14,14nh_01057,1,131,130,0.007967299861295534,14,knot_research_14.db
15,14nh_10368,1,124,122,0.0326406202106905,14,knot_research_14.db
16,14nh_16899,1,134,133,0.09606490661830269,14,knot_research_14.db
17,14ah_00508,1,145,143,0.13526818492504197,14,knot_research_14.db
18,14nh_13933,1,125,124,0.04589046011032093,14,knot_research_14.db
19,14ah_18394,1,121,119,0.3155665704167247,14,knot_research_14.db
20,14ah_08278,1,133,131,0.30254403257917334,14,knot_research_14.db
21,14nh_24927,1,120,120,0.2114852793428766,14,knot_research_14.db
22,14nh_01798,1,122,121,0.0020530075480474593,14,knot_research_14.db
23,14nh_20525,1,126,124,0.03430759175728456,14,knot_research_14.db
24,14ah_11656,1,132,130,0.2217475540544624,14,knot_research_14.db
25,14ah_05600,1,135,133,0.22331125107915964,14,knot_research_14.db
26,14nh_08985,1,124,123,0.008646471767972218,14,knot_research_14.db
27,14ah_14195,1,123,121,0.34129942653368534,14,knot_research_14.db
28,14nh_03859,1,127,126,0.014931947316573605,14,knot_research_14.db
29,14nh_18543,1,124,123,0.14882138927356478,14,knot_research_14.db
30,14ah_04938,1,127,125,0.26183662466454366,14,knot_research_14.db
31,14ah_01969,1,139,137,0.2045747326185997,14,knot_research_14.db
32,14nh_00397,1,137,136,0.00397138484955585,14,knot_research_14.db
33,14nh_09985,1,127,126,0.015110327507346007,14,knot_research_14.db
34,14ah_02520,1,143,141,0.1822832267628671,14,knot_research_14.db
35,14nh_26900,1,128,127,0.2348794121043534,14,knot_research_14.db
36,14ah_00506,1,137,135,0.1080891555727625,14,knot_research_14.db
37,14nh_18750,1,124,122,0.012436418936528673,14,knot_research_14.db
38,14ah_00425,1,144,142,0.10636831384455737,14,knot_research_14.db
39,14ah_15796,1,129,127,0.25877524377020145,14,knot_research_14.db
40,14ah_19246,1,121,119,0.23477393165239824,14,knot_research_14.db
41,14nh_03269,1,138,138,0.11567588831211217,14,knot_research_14.db
42,14nh_15307,1,128,126,0.019575790987477224,14,knot_research_14.db
43,14nh_15949,1,137,136,0.14539038206670907,14,knot_research_14.db
44,14nh_07153,1,137,136,0.145557992941124,14,knot_research_14.db
45,14nh_02168,1,123,121,0.025209978367843954,14,knot_research_14.db
46,14nh_04580,1,134,133,0.07557904031664302,14,knot_research_14.db
47,14nh_24073,1,127,126,0.06146935246334602,14,knot_research_14.db
48,14ah_08521,1,121,119,0.2258837979480424,14,knot_research_14.db
49,14ah_16558,1,125,123,0.16764374164114437,14,knot_research_14.db
50,14ah_15826,1,121,119,0.3076483128325515,14,knot_research_14.db
51,14ah_09303,1,131,129,0.2150008652779232,14,knot_research_14.db
52,14nh_00581,1,133,131,0.0053970635536810556,14,knot_research_14.db
53,14ah_11578,1,129,127,0.22509002830897937,14,knot_research_14.db
54,14nh_12298,1,139,138,0.16417834682609048,14,knot_research_14.db
55,14ah_02592,1,135,133,0.19612508801131937,14,knot_research_14.db
56,14nh_04452,1,123,123,0.1110465744694196,14,knot_research_14.db
57,14nh_11162,1,128,127,0.010916794409977035,14,knot_research_14.db
58,14nh_03193,1,128,127,0.009515759226871848,14,knot_research_14.db
59,14nh_00021,1,126,125,0.0030292360538031185,14,knot_research_14.db
60,14nh_12334,1,117,116,0.015474386961892935,14,knot_research_14.db
61,14nh_03615,1,125,124,0.011877319206122455,14,knot_research_14.db
62,14ah_11283,1,131,129,0.20789901229841062,14,knot_research_14.db
