id,name,marked_complete,stored_blocks,positive_blocks,observed_min,crossings,database
1,3_1,1,12,10,0.9999999999999993,3,knot_research.db
2,4_1,1,18,16,0.9999999999999999,4,knot_research.db
3,5_1,1,23,21,0.38196601125010443,5,knot_research.db
4,5_2,1,25,23,0.6047658931315093,5,knot_research.db
5,6_1,1,33,31,0.3819660112501046,6,knot_research.db
6,6_2,1,31,29,0.38196601125010454,6,knot_research.db
7,6_3,1,32,30,0.6454878180103976,6,knot_research.db
8,7_1,1,38,36,0.19806226419515988,7,knot_research.db
9,7_2,1,42,40,0.301531294777294,7,knot_research.db
10,7_3,1,44,42,0.27064656041735685,7,knot_research.db
11,7_4,1,38,36,0.4047888046356343,7,knot_research.db
12,7_5,1,42,40,0.3819660112501045,7,knot_research.db
13,7_6,1,40,38,0.41266087876154145,7,knot_research.db
14,7_7,1,38,36,0.6726346882240877,7,knot_research.db
15,8_1,1,52,50,0.19806226419516107,8,knot_research.db
16,8_2,1,50,48,0.1980622641951613,8,knot_research.db
17,8_3,1,56,54,0.3819660112501042,8,knot_research.db
18,8_4,1,48,46,0.19806226419516176,8,knot_research.db
19,8_5,1,46,44,0.2679491924311226,8,knot_research.db
20,8_6,1,54,52,0.2755242071282929,8,knot_research.db
21,8_7,1,53,51,0.2883726383989742,8,knot_research.db
22,8_8,1,51,49,0.36196267266716453,8,knot_research.db
23,8_9,1,54,52,0.29243267018174407,8,knot_research.db
24,8_10,1,51,49,0.2937181104655706,8,knot_research.db
25,8_11,1,52,50,0.38196601125010504,8,knot_research.db
26,8_12,1,50,48,0.38196601125010476,8,knot_research.db
27,8_13,1,49,47,0.3917890262634893,8,knot_research.db
28,8_14,1,50,48,0.4700910331886355,8,knot_research.db
29,8_15,1,50,48,0.4776215064343096,8,knot_research.db
30,8_16,1,47,45,0.4112624469219709,8,knot_research.db
31,8_17,1,50,48,0.5342869102693862,8,knot_research.db
32,8_18,1,44,42,0.7870732451629343,8,knot_research.db
33,8_19,1,48,47,0.2001108247727786,8,knot_research.db
34,8_20,1,47,46,0.05295971462765695,8,knot_research.db
35,8_21,1,48,47,0.36468389713510696,8,knot_research.db
36,9_1,1,57,55,0.12061475842818237,9,knot_research.db
37,9_2,1,63,61,0.1681014564327971,9,knot_research.db
38,9_3,1,67,65,0.15233431829928473,9,knot_research.db
39,9_4,1,69,67,0.19134910490435653,9,knot_research.db
40,9_5,1,59,57,0.2466962393424776,9,knot_research.db
41,9_6,1,65,63,0.19806226419516104,9,knot_research.db
42,9_7,1,67,65,0.2423944760601743,9,knot_research.db
43,9_8,1,63,61,0.21808321530926417,9,knot_research.db
44,9_9,1,63,61,0.19806226419516132,9,knot_research.db
45,9_10,1,65,63,0.2778382995133519,9,knot_research.db
46,9_11,1,63,61,0.19806226419516146,9,knot_research.db
47,9_12,1,65,63,0.3101185007782416,9,knot_research.db
48,9_13,1,65,63,0.29976335262595816,9,knot_research.db
49,9_14,1,61,59,0.30743791833161854,9,knot_research.db
50,9_15,1,63,61,0.34890996274061337,9,knot_research.db
51,9_16,1,59,57,0.2679491924311223,9,knot_research.db
52,9_17,1,59,57,0.3613492527578675,9,knot_research.db
53,9_18,1,63,61,0.3528644445832533,9,knot_research.db
54,9_19,1,63,61,0.315988208891937,9,knot_research.db
55,9_20,1,59,57,0.23414494436103211,9,knot_research.db
56,9_21,1,63,61,0.2947573173958366,9,knot_research.db
57,9_22,1,59,57,0.36134925275781105,9,knot_research.db
58,9_23,1,61,59,0.3616805711351538,9,knot_research.db
59,9_24,1,63,61,0.35928291761513004,9,knot_research.db
60,9_25,1,61,59,0.3302760671376176,9,knot_research.db
61,9_26,1,63,61,0.3159882088918262,9,knot_research.db
62,9_27,1,61,59,0.3153868267925314,9,knot_research.db
63,9_28,1,59,57,0.483540570241268,9,knot_research.db
64,9_29,1,55,53,0.2679491924311224,9,knot_research.db
65,9_30,1,59,57,0.3090397213571116,9,knot_research.db
66,9_31,1,57,55,0.4778187948484928,9,knot_research.db
67,9_32,1,59,57,0.41210486842978444,9,knot_research.db
68,9_33,1,57,55,0.47781879484845635,9,knot_research.db
69,9_34,1,57,55,0.4298091012912185,9,knot_research.db
70,9_35,1,55,53,0.26476119518732616,9,knot_research.db
71,9_36,1,61,59,0.2486169957897547,9,knot_research.db
72,9_37,1,63,61,0.29579935141261593,9,knot_research.db
73,9_38,1,59,57,0.5308803929240237,9,knot_research.db
74,9_39,1,61,59,0.5563992704788803,9,knot_research.db
75,9_40,1,53,51,0.803674379040694,9,knot_research.db
76,9_41,1,57,55,0.5505102572168213,9,knot_research.db
77,9_42,1,61,60,0.043242811484642374,9,knot_research.db
78,9_43,1,57,56,0.08913781117029379,9,knot_research.db
79,9_44,1,59,58,0.13827107631982422,9,knot_research.db
80,9_45,1,59,58,0.26074585984801013,9,knot_research.db
81,9_46,1,59,58,0.0289984089105238,9,knot_research.db
82,9_47,1,57,56,0.19941964000497814,9,knot_research.db
83,9_48,1,61,60,0.34044787431854734,9,knot_research.db
84,9_49,1,55,54,0.4867684209546495,9,knot_research.db
85,10_1,1,75,73,0.12061475842818287,10,knot_research.db
86,10_2,1,73,71,0.12061475842818288,10,knot_research.db
87,10_3,1,83,81,0.19806226419516135,10,knot_research.db
88,10_4,1,71,69,0.12061475842818294,10,knot_research.db
89,10_5,1,78,76,0.16071085834190174,10,knot_research.db
90,10_6,1,81,79,0.19230181568076396,10,knot_research.db
91,10_7,1,79,77,0.22747551378754066,10,knot_research.db
92,10_8,1,69,67,0.1206147584281836,10,knot_research.db
93,10_9,1,81,79,0.16437835641508852,10,knot_research.db
94,10_10,1,74,72,0.2077934841650327,10,knot_research.db
95,10_11,1,79,77,0.19806226419516168,10,knot_research.db
96,10_12,1,80,78,0.23400241762984716,10,knot_research.db
97,10_13,1,77,75,0.1980622641951617,10,knot_research.db
98,10_14,1,77,75,0.2432748352222951,10,knot_research.db
99,10_15,1,74,72,0.1709926345130917,10,knot_research.db
100,10_16,1,79,77,0.1980622641951614,10,knot_research.db
101,10_17,1,82,80,0.19628249235619213,10,knot_research.db
102,10_18,1,77,75,0.25463966564351354,10,knot_research.db
103,10_19,1,72,70,0.21996087649622875,10,knot_research.db
104,10_20,1,81,79,0.15961604556269757,10,knot_research.db
105,10_21,1,79,77,0.2058251306766272,10,knot_research.db
106,10_22,1,77,75,0.15836992980188008,10,knot_research.db
107,10_23,1,78,76,0.2590540978556021,10,knot_research.db
108,10_24,1,75,73,0.214254470167186,10,knot_research.db
109,10_25,1,73,71,0.24374747197144428,10,knot_research.db
110,10_26,1,75,73,0.24349901317368172,10,knot_research.db
111,10_27,1,74,72,0.32303966535128414,10,knot_research.db
112,10_28,1,70,68,0.26348299591077834,10,knot_research.db
113,10_29,1,75,73,0.2376806880282731,10,knot_research.db
114,10_30,1,75,73,0.27514933045919476,10,knot_research.db
115,10_31,1,78,76,0.24533863139293552,10,knot_research.db
116,10_32,1,73,71,0.3187536491853602,10,knot_research.db
117,10_33,1,78,76,0.39222362490044266,10,knot_research.db
118,10_34,1,76,74,0.20113179155460456,10,knot_research.db
119,10_35,1,77,75,0.2182155277166647,10,knot_research.db
120,10_36,1,77,75,0.2543912407949279,10,knot_research.db
121,10_37,1,78,76,0.23775226955040318,10,knot_research.db
122,10_38,1,75,73,0.21404497605075104,10,knot_research.db
123,10_39,1,75,73,0.3054726080406131,10,knot_research.db
124,10_40,1,72,70,0.3791205387248488,10,knot_research.db
125,10_41,1,71,69,0.2041668586787801,10,knot_research.db
126,10_42,1,72,70,0.32700157814180386,10,knot_research.db
127,10_43,1,74,72,0.3616012089288123,10,knot_research.db
128,10_44,1,69,67,0.31237433593729963,10,knot_research.db
129,10_45,1,72,70,0.48977180532041,10,knot_research.db
130,10_46,1,69,67,0.17290908471479752,10,knot_research.db
131,10_47,1,76,74,0.15848088606662275,10,knot_research.db
132,10_48,1,80,78,0.25256997300058154,10,knot_research.db
133,10_49,1,77,75,0.2557089662924916,10,knot_research.db
134,10_50,1,77,75,0.26794919243112303,10,knot_research.db
135,10_51,1,76,74,0.21482618171849877,10,knot_research.db
136,10_52,1,68,66,0.1808413169403278,10,knot_research.db
137,10_53,1,73,71,0.3187536491850671,10,knot_research.db
138,10_54,1,72,70,0.17670697937585625,10,knot_research.db
139,10_55,1,75,73,0.2680033830374135,10,knot_research.db
140,10_56,1,75,73,0.3013079941965695,10,knot_research.db
141,10_57,1,72,70,0.3111362676637551,10,knot_research.db
142,10_58,1,73,71,0.2752296998705732,10,knot_research.db
143,10_59,1,71,69,0.27639122079439893,10,knot_research.db
144,10_60,1,67,65,0.4956572621351255,10,knot_research.db
145,10_61,1,67,65,0.13919414688829654,10,knot_research.db
146,10_62,1,74,72,0.1762439389735451,10,knot_research.db
