crossings,registered,complete_used,partial_with_blocks,no_blocks,q10,q25,median,q75,q90,minimum,all_stored_minimum,minimizers
3,1,1,0,0,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.9999999999999993,3_1
4,1,1,0,0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,4_1
5,2,2,0,0,0.4042459994382449,0.4376659817204557,0.49336595219080687,0.5490659226611581,0.5824859049433688,0.38196601125010443,0.38196601125010443,5_1
6,3,3,0,0,0.38196601125010454,0.38196601125010454,0.3819660112501046,0.5137269146302511,0.592783456658339,0.38196601125010454,0.38196601125010454,6_1; 6_2
7,7,7,0,0,0.24161284192847807,0.2860889275973254,0.3819660112501045,0.4087248416985879,0.51665040254656,0.19806226419515988,0.19806226419515988,7_1
8,21,21,0,0,0.1980622641951613,0.2679491924311226,0.36196267266716453,0.3917890262634893,0.4776215064343096,0.05295971462765695,0.05295971462765695,8_20
9,49,49,0,0,0.14952166990339263,0.21808321530926417,0.29976335262595816,0.36134925275781105,0.4841861403839443,0.0289984089105238,0.0289984089105238,9_46
10,165,165,0,0,0.10020784592085982,0.19070977642146342,0.2590540978556021,0.32625051576215675,0.3966599207392924,0.011328297931719078,0.011328297931719078,10_153
11,552,552,0,0,0.04418709463946544,0.1602716531781854,0.24134112066712055,0.31302895680435605,0.35824377685465925,0.004446261831160994,0.004446261831160994,11n_81
12,2176,2176,0,0,0.03521574921880209,0.12415562681624046,0.20720148431736432,0.2746095296902483,0.32850664470952623,0.002634393637272259,0.002634393637272259,12n_723
13,9988,9988,0,0,0.019310613391669743,0.07451603449720756,0.1835327823028759,0.24748679547943464,0.29886891958631034,0.001304212446156029,0.001304212446156029,13n_2769
14,2154,2133,21,0,0.014012707493452646,0.04975241023435982,0.15911929218487886,0.2252665807011719,0.2736485421547828,0.0006119790255380953,0.0006119790255380953,14nh_03671
