id,name,marked_complete,stored_blocks,positive_blocks,observed_min,crossings,database
1,L6a4,1,28,26,1.999999999999999,6,link_research.db
2,L4a1,1,17,15,0.6277186767309848,4,link_research.db
3,L6n1,1,25,24,0.7764914482361407,6,link_research.db
4,L7a1,1,38,36,0.5107114281899202,7,link_research.db
5,L6a2,1,34,32,0.802133783546116,6,link_research.db
6,L7a5,1,42,40,0.4571038875801253,7,link_research.db
7,L7a6,1,40,38,0.36359506278950615,7,link_research.db
8,L2a1,1,8,6,2.0,2,link_research.db
9,L8a1,1,46,44,0.5258063413896229,8,link_research.db
10,L8a2,1,47,45,0.3088744772233789,8,link_research.db
11,L7a4,1,42,40,0.3961245283903214,7,link_research.db
12,L7n2,1,34,33,0.19952226516455795,7,link_research.db
13,L7a2,1,40,38,0.6374505246061517,7,link_research.db
14,L7a3,1,38,36,0.2907246405630775,7,link_research.db
15,L7a7,1,38,36,0.6277186767309855,7,link_research.db
16,L8a3,1,49,47,0.32864644518524383,8,link_research.db
17,L6a3,1,30,28,0.3263022173980586,6,link_research.db
18,L5a1,1,23,21,0.7639320225002094,5,link_research.db
19,L8a4,1,50,48,0.4133179928400393,8,link_research.db
20,L6a5,1,29,27,0.5661043098213819,6,link_research.db
21,L6a1,1,32,30,0.6454878180103949,6,link_research.db
22,L8a9,1,50,48,0.6859523607212676,8,link_research.db
23,L7n1,1,34,33,0.2134206706795891,7,link_research.db
24,L8a7,1,45,43,0.4911124942082852,8,link_research.db
25,L8a18,1,48,46,0.31708112895411333,8,link_research.db
26,L8a10,1,51,49,0.3619626726671701,8,link_research.db
27,L8a6,1,53,51,0.3098245921150144,8,link_research.db
28,L8a5,1,49,47,0.430894652842586,8,link_research.db
29,L8a13,1,51,49,0.4490176703631311,8,link_research.db
30,L8a11,1,53,51,0.28837263839895466,8,link_research.db
31,L8a14,1,47,45,0.20303668249894094,8,link_research.db
32,L8a17,1,52,50,0.5857864376269049,8,link_research.db
33,L8a8,1,47,45,0.5772042043723415,8,link_research.db
34,L8n8,1,47,45,0.7511991998876055,8,link_research.db
35,L8a15,1,50,48,0.4384471871911692,8,link_research.db
36,L8a12,1,55,53,0.3778153427126634,8,link_research.db
37,L8a16,1,49,47,0.5857864376269046,8,link_research.db
38,L8a21,1,45,43,0.502243551718991,8,link_research.db
39,L8a19,1,50,48,0.7029294556367248,8,link_research.db
40,L9a1,1,59,57,0.4401426084850122,9,link_research.db
41,L8a20,1,50,48,0.7191402842166057,8,link_research.db
42,L9a4,1,61,59,0.31108412290680737,9,link_research.db
43,L8n4,1,44,43,0.32731819952202057,8,link_research.db
44,L8n1,1,43,42,0.21533835329785556,8,link_research.db
45,L8n7,1,47,46,0.5158348296178817,8,link_research.db
46,L8n2,1,43,42,0.25795497396732386,8,link_research.db
47,L9a8,1,59,57,0.4146835566996777,9,link_research.db
48,L8n5,1,50,49,0.3574681224454493,8,link_research.db
49,L8n6,1,44,42,0.4371596639274246,8,link_research.db
50,L9a9,1,63,61,0.31169801308631756,9,link_research.db
51,L9a2,1,61,59,0.2561977715361425,9,link_research.db
52,L9a5,1,59,57,0.3302942040500069,9,link_research.db
53,L8n3,1,44,43,0.3451834946139443,8,link_research.db
54,L9a20,1,57,55,0.67839918213045,9,link_research.db
55,L9a6,1,63,61,0.2962662618473425,9,link_research.db
56,L9a12,1,65,63,0.3101185007782554,9,link_research.db
57,L9a3,1,59,57,0.4480544229256751,9,link_research.db
58,L9a16,1,61,59,0.3484491679577465,9,link_research.db
59,L9a11,1,57,55,0.4778187948484664,9,link_research.db
60,L9a19,1,57,55,0.4628352834803869,9,link_research.db
61,L9a22,1,59,57,0.31973051179262924,9,link_research.db
62,L9a24,1,65,63,0.2947623431096316,9,link_research.db
63,L9a13,1,57,55,0.37277126080688944,9,link_research.db
64,L9a10,1,57,55,0.22154288174161077,9,link_research.db
65,L9a18,1,65,63,0.20079554159178012,9,link_research.db
66,L9a7,1,61,59,0.26791889545278674,9,link_research.db
67,L9a14,1,59,57,0.1577643206756948,9,link_research.db
68,L9a21,1,63,61,0.31598820889211876,9,link_research.db
69,L9a15,1,63,61,0.21233103490810099,9,link_research.db
70,L9a40,1,57,55,0.2907246405630763,9,link_research.db
71,L9a39,1,65,63,0.22744108542865707,9,link_research.db
72,L9a25,1,61,59,0.21401101000804668,9,link_research.db
73,L9a17,1,63,61,0.3014095787628333,9,link_research.db
74,L9a26,1,61,59,0.47929679539235315,9,link_research.db
75,L9a29,1,57,55,0.17575731001725375,9,link_research.db
76,L9a28,1,63,61,0.2895016185662088,9,link_research.db
77,L9a42,1,59,57,0.42197936669656383,9,link_research.db
78,L9a44,1,57,55,0.23627618152406224,9,link_research.db
79,L9a23,1,63,61,0.3592829176153148,9,link_research.db
80,L9a36,1,61,59,0.19487330824723662,9,link_research.db
81,L9a32,1,55,53,0.3789723617083245,9,link_research.db
82,L9a41,1,61,59,0.32864644518524333,9,link_research.db
