name,knot_sig,dt_code
14ah_00001,oabcdefghijklmnlkjihgfedcbanmvvvvf--8-d,bhnmlkjiagfedc
14ah_00002,oabcdefghijklmnbcdefghijklanmvvvvf--8-d,bhijklmnacdefg
14ah_00003,oabcdefghijklmnjihgfedcbanmlkvvvvf-p8-a,cihnmlkjbagfed
14ah_00004,oabcdefghijklmnjihgfedcbalmnkvvvvf-p8-a,cihnmlkjabgfed
14ah_00005,oabcdefghijklmnbcdefghijanmlkvvvvf-p8-a,cihjklmnbadefg
14ah_00006,oabcdefghijklmnhgfedcbanmlkjivvvvf-d8pa,djihnmlkcbagfe
14ah_00007,oabcdefghijklmnhgfedcbajklmnivvvvf-d8pa,dijhnmlkabcgfe
14ah_00008,oabcdefghijklmnbcdefghanmlkjivvvvf-d8pa,djihklmncbaefg
14ah_00009,oabcadefghijklmbcndefghijklmnvvvvfpamaa,mhijklnabcdegf
14ah_00010,oabcdefghijklmndefghijklabcnmvvvvf--8-d,cdiajklmnbefgh
14ah_00011,oabcdefghijklmnbcdefghijalmnkvvvvf-p8-a,cihjklmnabdefg
14ah_00012,oabcdefghijklmnlijkhgfedcbanmvvvvf--8-d,bhnmlkjiafgedc
14ah_00013,oabcadefghijklmbcmnklnjihgfedvvvvf-FE4p,mlkjhgniedcbaf
14ah_00014,oabcdefghijklmndefghijklcbanmvvvvf--8-d,bhnijklmadefgc
14ah_00015,oabcdefghijklmnfghijklabcdenmvvvvf--8-d,defjabklmncghi
14ah_00016,oabcdeafghijklmbcdenfghijklmnvvvvf-a8aa,lhijkmnabcdgef
14ah_00017,oabcdefghijklmnhgfedcbalmnijkvvvvf-d8pa,djhinmlkcabgfe
14ah_00018,oabcdefghijklmnbcdefghajklmnivvvvf-d8pa,dijhklmnabcefg
14ah_00019,oabcdefgahijklmbcdefgnhijklmnvvvvf-d8da,khijlmnabcgdef
14ah_00020,oabcadefghijklmbcnfghijklmnedvvvvf-amam,mlhijknbcdegaf
14ah_00021,oabcdefghijklmnbclkjihgfedanmvvvvf--8-d,bhinmlkjacgfed
14ah_00022,oabcadefghijklmbcndmlkjihgfenvvvvfpamaa,mlkjihnaedcbgf
14ah_00023,oabcdefghijklmndefghijabcnmlkvvvvf-p8-a,dejiaklmncbfgh
14ah_00024,oabcdefghijklmnlefghijkdcbanmvvvvf--8-d,bhnmjkliadefgc
14ah_00025,oabcadebcfghijklmndefghijklmnvvvvfpdaaa,mhnijklacdefgb
14ah_00026,oabcdefghijklmnlghijkfedcbanmvvvvf--8-d,bhnmljkiaefgdc
14ah_00027,oabcadefghijklmbcmnijklnhgfedvvvvf-hEGp,mlkhignjdecbaf
14ah_00028,oabcdefghijklmndefghabcnmlkjivvvvf-d8pa,efkjialmndcbgh
14ah_00029,oabcadefghijklmbcmnghijklnfedvvvvf-bEao,mlhijgnkcdebaf
14ah_00030,oabcdefghijklmnhgfedcbalmnkjivvvvf-d8pa,djihnmlkcabgfe
14ah_00031,oabcdefghijklmnhgfedcbajmlknivvvvf-d8pa,djihnmlkabcgfe
14ah_00032,oabcdefghijklmnbcdefghkjilanmvvvvf--8-d,bhijklmnacdegf
14ah_00033,oabcdeafghijklmdcbenfghijklmnvvvvf-a8aa,lhijkmnabcdgfe
14ah_00034,oabcdefghijklmnfghijabcdenmlkvvvvf-p8-a,efgkjablmndchi
14ah_00035,oabcadefghijkbclmndefghijknmlvvvvfpadaa,mhijknlabcdgfe
14ah_00036,oabcdefghijklmndefghijcbanmlkvvvvf-p8-a,cihnjklmbaefgd
14ah_00037,oabcdefghijklmnbcjihgfedanmlkvvvvf-p8-a,cihjnmlkbadgfe
14ah_00038,oabcdeafghijklmbcdenfmlkjihgnvvvvf-a8aa,lkjihmnadcbgef
14ah_00039,oabcdefghijklmndefghcbanmlkjivvvvf-d8pa,djihnklmcbafge
14ah_00040,oabcadefghijkbclmndefghijklmnvvvvfpadaa,mhijknlabcdfge
14ah_00041,oabcdefghijklmnbgfedchanmlkjivvvvf-d8pa,djihkmlncbagfe
14ah_00042,oabcdefghijklmnbcdefghalmnkjivvvvf-d8pa,djihklmncabefg
14ah_00043,oabcdefgahijklmbcdefgnhmlkjinvvvvf-d8da,kjihlmnacbgdef
14ah_00044,oabcdefghijklmnjghifedcbanmlkvvvvf-p8-a,cihnmlkjbafged
14ah_00045,oabcadefghdbcijklmnefghnmlkjivvvvfpWaaa,mhianlkjbcgfed
14ah_00046,oabcdefghijklmnbcdkjihgfelanmvvvvf--8-d,bhijmlknacgfed
14ah_00047,oabcdeabcfghijklmdenfghijklmnvvvvf-dWaa,lmhijknbcdegaf
14ah_00048,oabcdefghijklmnjghifedcbalmnkvvvvf-p8-a,cihnmlkjabfged
14ah_00049,oabcdefghijkljihgfedmncbnmalkvvvvf-p-zc,bgmkjihafedncl
14ah_00050,oabcadefghijklmknbcnjmlihgfedvvvvf--8Zp,mlkjfihndecbag
14ah_00051,oabcadefghijkldbcmnkjihgfelnmvvvvfpamaa,mkjihanldcbegf
14ah_00052,oabcadefghdbcijklmnehgfnmlkjivvvvfpWaaa,mhianlkjcbgfed
14ah_00053,oabcdefghijklmnhefgdcbanmlkjivvvvf-d8pa,djihnmlkcbafge
14ah_00054,oabcdefghijkljimnhgfedcbanmlkvvvvf-pZ-a,cjhnmlkibgafed
14ah_00055,oabcadefghijklmbcenmlkjihgfndvvvvf-a8am,mgkjihnledcbaf
14ah_00056,oabcdefghijklmnbcdgfehanmlkjivvvvf-d8pa,djihklmncbaegf
14ah_00057,oabcdefghijklmndefghijcbalmnkvvvvf-p8-a,cihnjklmabefgd
14ah_00058,oabcadefghijdbcklmnefghijnmlkvvvvfpadaa,mhijanlkbcdgfe
14ah_00059,oabcdefghijklmnbcdefkjihglanmvvvvf--8-d,bhijkmlnacdgfe
14ah_00060,oabcadefgbchijklmndefghijklmnvvvvfpmaaa,mhinjklabdefgc
14ah_00061,oabcdefghijklmnbcdefihgjanmlkvvvvf-p8-a,cihjklmnbadegf
14ah_00062,oabcdefghijklmnhefgdcbajklmnivvvvf-d8pa,dijhnmlkabcfge
14ah_00063,oabcdeafghijklmbcdenhijklmngfvvvvf-d8am,lkhijmnbcdgaef
14ah_00064,oabcadefghijkedbclmnfkjihgnmlvvvvfpamaa,mekjianlbdchgf
14ah_00065,oabcdeafgbcdehijklmnfghijklmnvvvvf-8aaa,lhmnijkadefgbc
14ah_00066,oabcadefghibcjklmndefghijklmnvvvvfpWaaa,mhijnklabcefgd
14ah_00067,oabcdefghiajklmnlbcdefghiknmjvvvvf--5-j,jhibklmncadefg
14ah_00068,oabcdeafghijkbcdelmnfghijknmlvvvvf-apaa,lhijmnkabcgfde
14ah_00069,oabcadefghijkbcklmnijlmnhgfedvvvvf-NhGp,mlkhfnijdgcbae
14ah_00070,oabcdefghijklmndefghcbajklmnivvvvf-d8pa,dijhnklmabcfge
14ah_00071,oabcdefghijklmnjefghidcbanmlkvvvvf-p8-a,cihnmkljbaefgd
14ah_00072,oabcadefgbchijklmnfghijklmnedvvvvf-maam,mlhnijkbdefgac
14ah_00073,oabcdefgabcdehijklmfgnhijklmnvvvvf--ada,klmhijncdegabf
14ah_00074,oabcdeafghijklmbedcmnghijklnfvvvvf-b+bi,lhijgnmkbcdaef
14ah_00075,oabcdefghijklmnjefghidcbalmnkvvvvf-p8-a,cihnmkljabefgd
14ah_00076,oabcdeafghijklmbcdemnijklnhgfvvvvf-h+bo,lkhigmnjcdbaef
14ah_00077,oabcdefghijklmnbcdihgfejanmlkvvvvf-p8-a,cihjkmlnbadgfe
14ah_00078,oabcdefghijklmndefghijabclmnkvvvvf-p8-a,dejiaklmnbcfgh
14ah_00079,oabcdefghijklmndelkjihgfcbanmvvvvf--8-d,bhnimlkjadgfec
14ah_00080,oabcadefghijklmbcmnelkjihgfndvvvvfFaEai,mhkjignledcbaf
14ah_00081,oabcdeafghijklmdcbemnijklnhgfvvvvf-h+bo,lkhigmnjcdbafe
14ah_00082,oabcadebcfghijklmednfghijklmnvvvvf----p,mgnijklacdefhb
14ah_00083,oabcdefghijklmnlgjihkfedcbanmvvvvf--8-d,bhnmlkjiaefgdc
14ah_00084,oabcadefghijklmbcmnkjilnhgfedvvvvf-hEGp,mlkihgnjdecbaf
14ah_00085,oabcdeafghijklfbcdemnkjihglnmvvvvf-a8aa,ljihamnkcbdgef
14ah_00086,oabcadefghibcijklmnghjklmnfedvvvvf-5bao,mlhenijkcfgbad
14ah_00087,oabcdefghijklmnbcdefghalmnijkvvvvf-d8pa,djhiklmncabefg
14ah_00088,oabcadefghijkbclmnlkjihgfedmnvvvvf----p,mkjihnlfdcbage
14ah_00089,oabcadefghijkilbclmnjknmhgfedvvvvf-hEGp,mlkeignjdhcbaf
14ah_00090,oabcdefghijklmnfghijkladcbenmvvvvf--8-d,defjbaklmncghi
14ah_00091,oabcadefghijkljihgfembcmdnlknvvvvf-F+-j,mhgfldcbjnaeki
14ah_00092,oabcdefghijklmnbcdefghajknmlivvvvf-d8pa,dijhklmnacbefg
14ah_00093,oabcdefghijkalmdefghijknlbcmnvvvvf--8pd,ihklmnajfgbcde
14ah_00094,oabcdefghijkljimnhgfedcnmbalkvvvvf-pZpd,bgnlkjhafmedci
14ah_00095,oabcadefghijklfmnbcnlkjihgmedvvvvf-b+bo,mlkjibhnedcfag
14ah_00096,oabcdefghijklmnbcjihgfedalmnkvvvvf-p8-a,cihjnmlkabdgfe
14ah_00097,oabcdefghijklmndelkjihgfabcnmvvvvf--8-d,cdiajnmlkbehgf
14ah_00098,oabcdeafghijklmbedcnfmlkjihgnvvvvf-a8aa,lkjihnmadcbgef
14ah_00099,oabcdefghijklmkjnbcdefghanmlivvvvf-B2-a,cigklmnjbhadef
14ah_00100,oabcdefghijfklmknjihgnedcbamlvvvvfFV07d,bhnmgkjialfedc
14ah_00101,oabcadefghijklhmnbcnlkjimgfedvvvvf-h+Hp,mlkjichnedfbag
14ah_00102,oabcdeabcfghijklmdenlkjihgfmnvvvvf-dWaa,lmjihknedcbgaf
14ah_00103,oabcdeafghijkbcdelmnfghijklmnvvvvf-apaa,lhijmnkabcfgde
14ah_00104,oabcdefghijklmnlkdejihgfcbanmvvvvf--8-d,bhnjmlkiagdfec
14ah_00105,oabcadefghijklmbcmlnfkjihgnedvvvvf-a-am,mlkjignebdchaf
14ah_00106,oabcdefgabchijklmdefgnhijklmnvvvvf-pWda,klhijmnbcdgaef
14ah_00107,oabcdefghijklmnfghijabcdelmnkvvvvf-p8-a,efgkjablmncdhi
14ah_00108,oabcdeafgbedchijklmnfghijklmnvvvvf-8aaa,lhnmijkadefgbc
14ah_00109,oabcadefghijklmbcndefghilkjmnvvvvfpamaa,mhijklnabcedgf
14ah_00110,oabcadefghijklmbcndelkjihgfmnvvvvfpamaa,mhkjilnaedcbgf
14ah_00111,oabcadefghijklmbcefghijnlknmdvvvvf-F+Fo,mghiklnbcdejaf
14ah_00112,oabcdefghiajklmknbihgfedcnjmlvvvvf--8-d,jcihnmlkabdgfe
14ah_00113,oabcdefghijklmndefghabcjklmnivvvvf-d8pa,efjkialmnbcdgh
14ah_00114,oabcdefghijklmnfghijkledabcnmvvvvf--8-d,cdianjklmbfghe
14ah_00115,oabcdefghijklhmngfedcbnmalkjivvvvf-d5Na,chgmlkibanfedj
14ah_00116,oabcadefghijkbclmnfghijklmnedvvvvf-adam,mlhijnkbcdfgae
