name,knot_sig,dt_code
14nh_00001,oabcdbefcdghijklmnaefghijklmnltvvf----p,fiklmnHJaGbcde
14nh_00002,oabcdbefcdghijklmnfeaghijklmnRs1ufb4F+p,ejklmGINFabcdH
14nh_00003,oabcdbefghijcdjiklmnfeakhglmnRQsZeba4zo,dHlmFJNBKEIacG
14nh_00004,oabcdefbghijcdklefmnaghijklmnR0mvf----p,eijlnHKMabFcGd
14nh_00005,oabcdefbghijklmnaghijkcdlmefnRQLkd-bp4p,gKLHmInJDFABCe
14nh_00006,oabcdbefghijklcdmnamlkjihgfenRQsRcba4bi,fLKJInHMEDCBGa
14nh_00007,oabcdefghbijklmnaicdjkeflmghnRALmd-3V-p,gHlImJnKBDFAce
14nh_00008,oabcdbefghijaeklmncdjinmhglkfRvQmdF-+-p,iHFJnCmBlKDAge
14nh_00009,oabcdbefcdghfeaijklmnghnmlkjiltvvfH5--p,hgfemcbaJLnIdk
14nh_00010,oabcdbefcdghijfeaklmnghijnmlkltvvfH5--p,gfelmbaIKnHcdj
14nh_00011,oabcdbefcdghijklmnaefghijmlknltvvf----p,fiklmnHJaGbced
14nh_00012,oabcdbefghijcdhgklmnaejifklmnlZsvf----p,ejhmnGKaLbFIcd
14nh_00013,oabcdbefcdghijklmnaefglkjihmnltvvf----p,fimlknHJaGbdce
14nh_00014,oabcdefbghcdefijklmnaghijklmnRSuvf----p,eilmnHJKaFGbcd
14nh_00015,oabcdecfghijedhklgfbmnklamjinxnzmdBGn-j,cHmLidkBegNfaJ
14nh_00016,oabcdbefghcdigfjklmnaehijklmnlnvvf----p,eilmnGJakFbhcd
14nh_00017,oabcdbefghijklamnefghijkcdlnmRQLQeFapGp,hgKLMInaJFBCDE
14nh_00018,oabcdbefcdghijklfeamnghijklnmltvvfH5--p,feklmaHJnGbcdi
14nh_00019,oabcdbefghijakflmncdjinmhglekRuRmd----p,iLFJnCmBaKDHge
14nh_00020,oabcdbefcdghijfeaklmngjihnmlkltvvfH5--p,gfemlbaIKnHcdj
14nh_00021,oabcdbefcdghijklfeamnglkjihnmltvvfH5--p,femlkaHJnGbdci
14nh_00022,oabcdbefcdghijklmnaefgnmlkjihltvvf----p,finmlkHJaGbedc
14nh_00023,oabcdefbghijcfkledmnaghijmlknR0mvf----p,eijlnHMKabFdGc
14nh_00024,oabcdbefcdghijklmnfeamlkjihgnltvvfH5--p,elkjmGInFdcbah
14nh_00025,oabcdefgcbhigjeklhimknalmfjdnBYyMdhE9-k,dMJnHCbElGfAiK
14nh_00026,oabcdefbghcdefijklmnhgaijklmnRQutfba+5p,dklmGIJNEFabcH
14nh_00027,oabcdbefghijcdklmnakjihgfelmnRQuReba+bo,fKJImnHLDCBGae
14nh_00028,oabcdbefcdghijklmnfeaghijklmnltvvfH5--p,ejklmGInFabcdh
14nh_00029,oabcdefbghedcfijklmnhgaijklmnRQutfba+5p,dklmGIJNFEabcH
14nh_00030,oabcdbefghcdijklmnagfehijklmnlnvvf----p,fijlmnHKbaGcde
14nh_00031,oabcdbefghijcdklmnaejklmnihgfl1uvf----p,fkmnjiHLaedGbc
14nh_00032,oabcdefghbijklmnaicdjkehnmgflRALmd-3V-p,gHlInJmKBFDAce
14nh_00033,oabcdbefghijklcdmnaefghijklmnlvtvf----p,fijklnHMabcdGe
14nh_00034,oabcdbefghcdhgijklmnfeaijklmnRQutfba+5p,dklmFINJEHabcG
14nh_00035,oabcdefbghifejkiaglmjknlcdmnhNSXmddpCai,gDmFhBkJeLaNIc
14nh_00036,oabcdefbghcdefijklmnhgamlkjinRSuvfbg+-p,dlkmGIJnEFcbah
14nh_00037,oabcdbefghijcdjgklmnaefmlkhinRMszfFY-Zj,eHminGKALdFJcb
14nh_00038,oabcdefbghijcdefjiklmnhgaklmnRQknfbaGNp,clmFIJNKDEHabG
14nh_00039,oabcdefbghcdefijklmnhgaijklmnRSuvfbg+-p,dklmGIJnEFabch
14nh_00040,oabcdbefghijklmeanfmcdlkjihgnRQYQcbayai,gJHMLKaICNFEDB
