knot_name,h,q,spectral_gap,matrix_dimension,matrix_filename
3_1,0,1,,1,3_1_h0_q1.npz
3_1,0,3,6.0,2,3_1_h0_q3.npz
3_1,0,5,3.0,1,3_1_h0_q5.npz
3_1,1,3,3.0,3,3_1_h1_q3.npz
3_1,1,5,2.9999999999999982,3,3_1_h1_q5.npz
3_1,2,3,3.0,3,3_1_h2_q3.npz
3_1,2,5,1.9999999999999996,6,3_1_h2_q5.npz
3_1,2,7,0.9999999999999993,3,3_1_h2_q7.npz
3_1,3,3,3.0,1,3_1_h3_q3.npz
3_1,3,5,1.9999999999999998,3,3_1_h3_q5.npz
3_1,3,7,0.9999999999999993,3,3_1_h3_q7.npz
3_1,3,9,,1,3_1_h3_q9.npz
5_1,0,3,,1,5_1_h0_q3.npz
5_1,0,5,10.0,2,5_1_h0_q5.npz
5_1,0,7,5.0,1,5_1_h0_q7.npz
5_1,1,5,4.999999999999996,5,5_1_h1_q5.npz
5_1,1,7,4.999999999999997,5,5_1_h1_q7.npz
5_1,2,5,5.0,10,5_1_h2_q5.npz
5_1,2,7,2.9384568463904506,20,5_1_h2_q7.npz
5_1,2,9,2.9999999999999996,10,5_1_h2_q9.npz
5_1,3,5,5.0,10,5_1_h3_q5.npz
5_1,3,7,2.585786437626904,30,5_1_h3_q7.npz
5_1,3,9,1.0075569567118796,30,5_1_h3_q9.npz
5_1,3,11,2.5332681960292875,10,5_1_h3_q11.npz
5_1,4,5,5.0,5,5_1_h4_q5.npz
5_1,4,7,2.5857864376269046,20,5_1_h4_q7.npz
5_1,4,9,1.0075569567118787,30,5_1_h4_q9.npz
5_1,4,11,1.0437047985323877,20,5_1_h4_q11.npz
5_1,4,13,0.381966011250105,5,5_1_h4_q13.npz
5_1,5,5,5.0,1,5_1_h5_q5.npz
5_1,5,7,3.381966011250103,5,5_1_h5_q7.npz
5_1,5,9,2.0437047985323886,10,5_1_h5_q9.npz
5_1,5,11,1.0437047985323888,10,5_1_h5_q11.npz
5_1,5,13,0.38196601125010443,5,5_1_h5_q13.npz
5_1,5,15,,1,5_1_h5_q15.npz
7_1,0,5,,1,7_1_h0_q5.npz
7_1,0,7,14.0,2,7_1_h0_q7.npz
7_1,0,9,7.0,1,7_1_h0_q9.npz
7_1,1,7,6.999999999999999,7,7_1_h1_q7.npz
7_1,1,9,7.0,7,7_1_h1_q9.npz
7_1,2,7,7.0,21,7_1_h2_q7.npz
7_1,2,9,3.9876722731372114,42,7_1_h2_q9.npz
7_1,2,11,4.999999999999988,21,7_1_h2_q11.npz
7_1,3,7,7.0,35,7_1_h3_q7.npz
7_1,3,9,3.7571051482513647,105,7_1_h3_q9.npz
7_1,3,11,1.785864790424121,105,7_1_h3_q11.npz
7_1,3,13,3.6181542289051345,35,7_1_h3_q13.npz
7_1,4,7,7.0,35,7_1_h4_q7.npz
7_1,4,9,3.7571051482513407,140,7_1_h4_q9.npz
7_1,4,11,1.7858647904241078,210,7_1_h4_q11.npz
7_1,4,13,1.4181658842264082,140,7_1_h4_q13.npz
7_1,4,15,1.1623666096928806,35,7_1_h4_q15.npz
7_1,5,7,7.0,21,7_1_h5_q7.npz
7_1,5,9,4.613530827332512,105,7_1_h5_q9.npz
7_1,5,11,2.7170324599267675,210,7_1_h5_q11.npz
7_1,5,13,1.3447892233257894,210,7_1_h5_q13.npz
7_1,5,15,0.5218586120640616,105,7_1_h5_q15.npz
7_1,5,17,1.2014717390807779,21,7_1_h5_q17.npz
7_1,6,7,7.0,7,7_1_h6_q7.npz
7_1,6,9,4.697224362268005,42,7_1_h6_q9.npz
7_1,6,11,2.82466235187865,105,7_1_h6_q11.npz
7_1,6,13,1.3447892233257879,140,7_1_h6_q13.npz
7_1,6,15,0.5218586120640588,105,7_1_h6_q15.npz
7_1,6,17,0.6053750431683076,42,7_1_h6_q17.npz
7_1,6,19,0.19806226419515988,7,7_1_h6_q19.npz
7_1,7,7,7.0,1,7_1_h7_q7.npz
7_1,7,9,5.19806226419516,7,7_1_h7_q9.npz
7_1,7,11,3.6053750431683094,21,7_1_h7_q11.npz
7_1,7,13,2.2931867192054334,35,7_1_h7_q13.npz
7_1,7,15,1.293186719205429,35,7_1_h7_q15.npz
7_1,7,17,0.6053750431683115,21,7_1_h7_q17.npz
7_1,7,19,0.19806226419516143,7,7_1_h7_q19.npz
7_1,7,21,,1,7_1_h7_q21.npz
9_1,0,7,,1,9_1_h0_q7.npz
9_1,0,7,,1,9_1_h0_q7.npz
9_1,0,9,18.0,2,9_1_h0_q9.npz
9_1,0,9,18.0,2,9_1_h0_q9.npz
9_1,0,11,9.0,1,9_1_h0_q11.npz
9_1,0,11,9.0,1,9_1_h0_q11.npz
9_1,1,9,8.999999999999998,9,9_1_h1_q9.npz
9_1,1,9,8.999999999999998,9,9_1_h1_q9.npz
9_1,1,11,8.999999999999986,9,9_1_h1_q11.npz
9_1,1,11,8.999999999999986,9,9_1_h1_q11.npz
9_1,2,9,9.0,36,9_1_h2_q9.npz
9_1,2,9,9.0,36,9_1_h2_q9.npz
9_1,2,11,5.057819368790291,72,9_1_h2_q11.npz
9_1,2,11,5.057819368790291,72,9_1_h2_q11.npz
9_1,2,13,6.999999999999994,36,9_1_h2_q13.npz
9_1,2,13,6.999999999999994,36,9_1_h2_q13.npz
9_1,3,9,9.0,84,9_1_h3_q9.npz
9_1,3,9,9.0,84,9_1_h3_q9.npz
9_1,3,11,4.927245466587518,252,9_1_h3_q11.npz
9_1,3,11,4.9272454665875385,252,9_1_h3_q11.npz
9_1,3,13,2.587639958268683,252,9_1_h3_q13.npz
9_1,3,13,2.587639958268689,252,9_1_h3_q13.npz
9_1,3,15,4.706805417464867,84,9_1_h3_q15.npz
9_1,3,15,4.706805417464867,84,9_1_h3_q15.npz
9_1,4,9,9.0,126,9_1_h4_q9.npz
9_1,4,9,9.0,126,9_1_h4_q9.npz
9_1,4,11,4.927245466587541,504,9_1_h4_q11.npz
9_1,4,11,4.927245466587558,504,9_1_h4_q11.npz
9_1,4,13,2.587639958268671,756,9_1_h4_q13.npz
9_1,4,13,2.587639958268687,756,9_1_h4_q13.npz
9_1,4,15,1.8154622705339205,504,9_1_h4_q15.npz
9_1,4,15,1.81546227053392,504,9_1_h4_q15.npz
9_1,4,17,1.9651114826887082,126,9_1_h4_q17.npz
9_1,4,17,1.9651114826887093,126,9_1_h4_q17.npz
9_1,5,9,9.0,126,9_1_h5_q9.npz
9_1,5,9,9.0,126,9_1_h5_q9.npz
9_1,5,11,5.844398083877964,630,9_1_h5_q11.npz
9_1,5,11,5.844398083877981,630,9_1_h5_q11.npz
9_1,5,13,3.5283634252441094,1260,9_1_h5_q13.npz
9_1,5,13,3.528363425244171,1260,9_1_h5_q13.npz
9_1,5,15,1.8154622705339192,1260,9_1_h5_q15.npz
9_1,5,15,1.8154622705339185,1260,9_1_h5_q15.npz
9_1,5,17,0.9271204832886996,630,9_1_h5_q17.npz
9_1,5,17,0.9271204832887162,630,9_1_h5_q17.npz
9_1,5,19,1.6100815595424416,126,9_1_h5_q19.npz
9_1,5,19,1.6100815595424467,126,9_1_h5_q19.npz
9_1,6,9,9.0,84,9_1_h6_q9.npz
9_1,6,9,9.0,84,9_1_h6_q9.npz
9_1,6,11,6.041278632113302,504,9_1_h6_q11.npz
9_1,6,11,6.04127863211332,504,9_1_h6_q11.npz
9_1,6,13,3.7730395399688414,1260,9_1_h6_q13.npz
9_1,6,13,3.7730395399688335,1260,9_1_h6_q13.npz
9_1,6,15,1.8546129966784157,1680,9_1_h6_q15.npz
9_1,6,15,1.8546129966784244,1680,9_1_h6_q15.npz
9_1,6,17,0.9271204832887252,1260,9_1_h6_q17.npz
9_1,6,17,0.9271204832887134,1260,9_1_h6_q17.npz
9_1,6,19,0.791038467345075,504,9_1_h6_q19.npz
9_1,6,19,0.791038467345059,504,9_1_h6_q19.npz
9_1,6,21,0.6061712496697645,84,9_1_h6_q21.npz
9_1,6,21,0.6061712496697645,84,9_1_h6_q21.npz
9_1,7,9,9.0,36,9_1_h7_q9.npz
9_1,7,9,9.0,36,9_1_h7_q9.npz
9_1,7,11,6.477106238032318,252,9_1_h7_q11.npz
9_1,7,11,6.4771062380323166,252,9_1_h7_q11.npz
9_1,7,13,4.612677170140366,756,9_1_h7_q13.npz
9_1,7,13,4.612677170140381,756,9_1_h7_q13.npz
9_1,7,15,2.973281665527023,1260,9_1_h7_q15.npz
9_1,7,15,2.973281665527027,1260,9_1_h7_q15.npz
9_1,7,17,1.6526090902777424,1260,9_1_h7_q17.npz
9_1,7,17,1.6526090902777502,1260,9_1_h7_q17.npz
9_1,7,19,0.791038467345059,756,9_1_h7_q19.npz
9_1,7,19,0.7910384673450581,756,9_1_h7_q19.npz
9_1,7,21,0.32194624960618157,252,9_1_h7_q21.npz
9_1,7,21,0.32194624960617413,252,9_1_h7_q21.npz
9_1,7,23,0.6825704292559034,36,9_1_h7_q23.npz
9_1,7,23,0.6825704292559034,36,9_1_h7_q23.npz
9_1,8,9,9.0,9,9_1_h8_q9.npz
9_1,8,9,9.0,9,9_1_h8_q9.npz
9_1,8,11,6.736922589686756,72,9_1_h8_q11.npz
9_1,8,11,6.736922589686756,72,9_1_h8_q11.npz
9_1,8,13,4.785147253756239,252,9_1_h8_q13.npz
9_1,8,13,4.7851472537562385,252,9_1_h8_q13.npz
9_1,8,15,3.0991617091774084,504,9_1_h8_q15.npz
9_1,8,15,3.0991617091774106,504,9_1_h8_q15.npz
9_1,8,17,1.814456144066738,630,9_1_h8_q17.npz
9_1,8,17,1.8144561440667515,630,9_1_h8_q17.npz
9_1,8,19,0.8294685181077941,504,9_1_h8_q19.npz
9_1,8,19,0.8294685181077872,504,9_1_h8_q19.npz
9_1,8,21,0.32194624960617474,252,9_1_h8_q21.npz
9_1,8,21,0.32194624960617413,252,9_1_h8_q21.npz
9_1,8,23,0.3912074194567038,72,9_1_h8_q23.npz
9_1,8,23,0.3912074194567038,72,9_1_h8_q23.npz
9_1,8,25,0.12061475842818237,9,9_1_h8_q25.npz
9_1,8,25,0.12061475842818237,9,9_1_h8_q25.npz
9_1,9,9,9.0,1,9_1_h9_q9.npz
9_1,9,9,9.0,1,9_1_h9_q9.npz
9_1,9,11,7.120614758428183,9,9_1_h9_q11.npz
9_1,9,11,7.120614758428183,9,9_1_h9_q11.npz
9_1,9,13,5.391207419456704,36,9_1_h9_q13.npz
9_1,9,13,5.391207419456704,36,9_1_h9_q13.npz
9_1,9,15,3.8758882992364017,84,9_1_h9_q15.npz
9_1,9,15,3.8758882992364017,84,9_1_h9_q15.npz
9_1,9,17,2.609863356368178,126,9_1_h9_q17.npz
9_1,9,17,2.609863356368181,126,9_1_h9_q17.npz
9_1,9,19,1.6098633563681861,126,9_1_h9_q19.npz
9_1,9,19,1.6098633563681786,126,9_1_h9_q19.npz
9_1,9,21,0.8758882992364034,84,9_1_h9_q21.npz
9_1,9,21,0.8758882992364034,84,9_1_h9_q21.npz
9_1,9,23,0.391207419456707,36,9_1_h9_q23.npz
9_1,9,23,0.391207419456707,36,9_1_h9_q23.npz
9_1,9,25,0.12061475842818269,9,9_1_h9_q25.npz
9_1,9,25,0.12061475842818269,9,9_1_h9_q25.npz
9_1,9,27,,1,9_1_h9_q27.npz
9_1,9,27,,1,9_1_h9_q27.npz
